name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
"Nice Studio, 50 mts of terrace.",2099653,,Benito Juárez,19.38942,-99.1358,Private room,360,3,8,0.21,5,363
Explore the City's Historic Center,2256144,,Cuauhtémoc,19.42577,-99.13721,Private room,515,1,2,0.02,1,365
"Condesa, ideal location apartment",1601561,Sylvia Eugenia,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1487,2,223,2.11,1,333
Nice and cozy room with terrace!!!!,1767559,Anna,La Magdalena Contreras,19.33021,-99.21677,Private room,823,3,2,0.03,2,365
habitación privada cerca de polanco,2269083,Alondra,Miguel Hidalgo,19.44338,-99.18841,Private room,206,2,44,0.41,5,299
Lit room with balcony new Polanco,2269083,Alondra,Miguel Hidalgo,19.44562,-99.18847,Shared room,310,2,61,0.57,5,117
Departamento  Roma Norte- Sanitizado,2281290,Suites,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,534,1,24,0.36,50,356
bien ubicado📍luminoso +🛌🌙️+10 min Reforma+🌈,2409917,Darío,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,609,2,23,0.21,3,362
Luxury Room for rent in Santa Fe area México City,2428947,Esther,Miguel Hidalgo,19.38875,-99.24067,Private room,1200,7,0,0.0,1,275
Nice big room near airport,2547499,Irma,Venustiano Carranza,19.43784,-99.07903,Private room,318,1,154,4.23,3,2
Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,Álvaro Obregón,19.38751,-99.22409,Private room,515,2,0,0.0,1,87
Roma Condesa Espectacular Home,158585,Fernando,Cuauhtémoc,19.41887,-99.17333,Entire home/apt,1963,2,186,1.77,1,326
Great Apartment w/Balcony & Excellent Location!,2732644,Paola,Cuauhtémoc,19.42924,-99.15699,Entire home/apt,870,2,29,0.41,1,362
amazing flat in the heart of CONDES,2761952,Fatima,Miguel Hidalgo,19.40598,-99.1807,Entire home/apt,800,1,3,0.04,1,331
Un descanso en CDMX,2336127,Ana Karen,Cuauhtémoc,19.45553,-99.15988,Private room,210,7,24,0.35,1,362
"""Frida"" beautiful Private Room",1326107,Jacqueline,Cuauhtémoc,19.41484,-99.15613,Private room,399,5,8,0.09,4,251
Centro Histórico Balcón Vista a la ciudad 12D,2872228,Bruce,Cuauhtémoc,19.43374,-99.14616,Entire home/apt,1260,2,51,0.5,6,247
Apartment close to the Basílica.,1849414,,Gustavo A. Madero,19.48321,-99.11241,Private room,412,3,6,0.07,1,58
Trendy Condesa nice room for rent..,1969996,Gloria,Cuauhtémoc,19.40711,-99.17567,Private room,847,2,28,0.28,5,241
Beautiful appartement on Reforma,2944126,Dacio,Cuauhtémoc,19.43294,-99.15559,Entire home/apt,1540,4,24,0.23,1,326
90m2 / Mexico City's Hist. downtown,3040937,Jano,Cuauhtémoc,19.43826,-99.1366,Entire home/apt,1362,3,169,1.61,2,332
Apt near Mexico City's downtown,3059169,Andoni,Cuauhtémoc,19.44722,-99.16065,Shared room,2061,1,0,0.0,1,365
habitacion a 15 min de hospital español,2269083,Alondra,Miguel Hidalgo,19.44353,-99.18649,Shared room,225,2,61,0.59,5,118
"Sunny comfy flat,great location!",2991302,Laura,Cuauhtémoc,19.41789,-99.17209,Entire home/apt,1583,3,235,2.33,1,238
Lovely studio in colonial San Angel,264422,Regina & Romain,Álvaro Obregón,19.35323,-99.19343,Entire home/apt,823,2,150,1.48,2,364
Private room in nice apartment,3289927,Yaotl,Miguel Hidalgo,19.44232,-99.18332,Private room,592,3,1,0.02,2,360
1 private room in a nice apartment,3289927,Yaotl,Miguel Hidalgo,19.44216,-99.18382,Private room,598,5,1,0.01,2,365
"Comfortable and luminous house, 3 levels, 1-10 prs",3299226,Carlos,Venustiano Carranza,19.41417,-99.11566,Entire home/apt,1084,2,69,0.66,1,361
Modern Complex in Historic District⭐️,3531879,Gonzalo & Sandra,Cuauhtémoc,19.43048,-99.14461,Entire home/apt,1231,30,251,2.43,3,351
Simple y Práctico a 2 cuadras de Polanco,3531879,Gonzalo & Sandra,Miguel Hidalgo,19.44226,-99.18406,Entire home/apt,1072,30,144,1.44,3,355
"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",3531879,Gonzalo & Sandra,Miguel Hidalgo,19.4418,-99.18402,Entire home/apt,1237,24,35,0.34,3,4
New Home sweet Home Roma/Condesa,3648353,Eduardo,Cuauhtémoc,19.41031,-99.16434,Entire home/apt,937,3,170,1.7,1,57
bachelor for rent,3701050,Jorge Mario,Cuauhtémoc,19.4117,-99.17821,Private room,1438,1,0,0.0,1,0
HEART OF CONDESA  ART DECO BUILDING,1288063,Francisco,Cuauhtémoc,19.41362,-99.16603,Entire home/apt,1333,1,284,2.82,2,335
Best Location at La Roma-Condesa,3800330,Yas,Cuauhtémoc,19.42397,-99.15571,Entire home/apt,1208,3,253,2.89,1,364
Business Suite BEIGE near Reforma,3850198,Hermann,Cuauhtémoc,19.43059,-99.17073,Hotel room,863,2,22,0.22,10,365
Business Suite ORANGE near Reforma,3850198,Hermann,Cuauhtémoc,19.43059,-99.17073,Entire home/apt,1145,5,6,0.06,10,84
Beautiful full furnished apartmente,3882003,Vera,Cuajimalpa de Morelos,19.36561,-99.27728,Entire home/apt,1237,360,0,0.0,1,0
In the best location in Mexico,3996052,Ivonne,Benito Juárez,19.37498,-99.18241,Private room,700,1,0,0.0,1,362
"Stylish bachelor pad in La Roma, DF",3817743,Max,Cuauhtémoc,19.40975,-99.1621,Private room,822,1,5,0.05,1,363
LOVELY LITTLE HOUSE COYOACAN,4079778,Rosa Maria,Coyoacán,19.34604,-99.15938,Entire home/apt,928,3,12,0.13,5,360
Nice quiet room in a lovely house!!,1767559,Anna,La Magdalena Contreras,19.33166,-99.21412,Private room,617,1,1,0.01,2,365
"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,Cuajimalpa de Morelos,19.35213,-99.28565,Private room,500,2,27,0.32,2,362
Park views - Santa Fe’s unique,4517909,Alessandra,Cuajimalpa de Morelos,19.3602,-99.27062,Entire home/apt,1900,20,29,0.29,1,365
Classic but Modern Apartment in Condesa,4195771,Jair,Cuauhtémoc,19.41824,-99.1756,Private room,618,2,140,1.83,1,364
AMAZING LOFT in the heart of CDMX,4316391,Alejandro,Miguel Hidalgo,19.40243,-99.17828,Entire home/apt,1364,4,48,0.52,1,365
Suite 5 - Suites Condesa Mexico,4326326,Rodrigo,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,900,30,46,0.5,5,329
Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,850,3,18,0.2,5,290
Apartment with Internet & 2 cable TV's,4344353,Miriam,Coyoacán,19.34277,-99.15553,Entire home/apt,618,1,25,0.46,1,269
